"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2013","Co. Dublin","Number","19"
"Persons Killed","2013","Co. Kildare","Number","15"
"Persons Killed","2013","Co. Kilkenny","Number","4"
"Persons Killed","2013","Co. Laois","Number","2"
"Persons Killed","2013","Co. Longford","Number","2"
"Persons Killed","2013","Co. Louth","Number","4"
"Persons Killed","2013","Co. Meath","Number","9"
"Persons Killed","2013","Co. Offaly","Number","5"
"Persons Killed","2013","Co. Westmeath","Number","5"
"Persons Killed","2013","Co. Wexford","Number","7"
"Persons Killed","2013","Co. Wicklow","Number","6"
"Persons Killed","2013","Co. Clare","Number","2"
"Persons Killed","2013","Co. Cork","Number","18"
"Persons Killed","2013","Co. Kerry","Number","14"
"Persons Killed","2013","Co. Limerick","Number","6"
"Persons Killed","2013","Co. Tipperary","Number","12"
"Persons Killed","2013","Co. Waterford","Number","2"
"Persons Killed","2013","Co. Galway","Number","13"
"Persons Killed","2013","Co. Leitrim","Number","2"
"Persons Killed","2013","Co. Mayo","Number","6"
"Persons Killed","2013","Co. Roscommon","Number","4"
"Persons Killed","2013","Co. Sligo","Number","5"
"Persons Killed","2013","Co. Cavan","Number","3"
"Persons Killed","2013","Co. Donegal","Number","13"
"Persons Killed","2013","Co. Monaghan","Number","8"
"Persons Killed","2014","Co. Carlow","Number","5"
"Persons Killed","2014","Co. Dublin","Number","28"
"Persons Killed","2014","Co. Kildare","Number","4"
"Persons Killed","2014","Co. Kilkenny","Number","3"
"Persons Killed","2014","Co. Laois","Number","7"
"Persons Killed","2014","Co. Longford","Number","4"
"Persons Killed","2014","Co. Louth","Number","6"
"Persons Killed","2014","Co. Meath","Number","5"
"Persons Killed","2014","Co. Offaly","Number","2"
"Persons Killed","2014","Co. Westmeath","Number","6"
"Persons Killed","2014","Co. Wexford","Number","4"
"Persons Killed","2014","Co. Wicklow","Number","7"
"Persons Killed","2014","Co. Clare","Number","5"
"Persons Killed","2014","Co. Cork","Number","19"
"Persons Killed","2014","Co. Kerry","Number","14"
"Persons Killed","2014","Co. Limerick","Number","10"
"Persons Killed","2014","Co. Tipperary","Number","14"
"Persons Killed","2014","Co. Waterford","Number","6"
"Persons Killed","2014","Co. Galway","Number","5"
"Persons Killed","2014","Co. Leitrim","Number","1"
"Persons Killed","2014","Co. Mayo","Number","12"
"Persons Killed","2014","Co. Roscommon","Number","6"
"Persons Killed","2014","Co. Sligo","Number","1"
"Persons Killed","2014","Co. Cavan","Number","1"
"Persons Killed","2014","Co. Donegal","Number","9"
"Persons Killed","2014","Co. Monaghan","Number","8"
"Persons Killed","2015","Co. Carlow","Number","4"
"Persons Killed","2015","Co. Dublin","Number","16"
"Persons Killed","2015","Co. Kildare","Number","9"
"Persons Killed","2015","Co. Kilkenny","Number","2"
"Persons Killed","2015","Co. Laois","Number","4"
"Persons Killed","2015","Co. Longford","Number","5"
"Persons Killed","2015","Co. Louth","Number","6"
"Persons Killed","2015","Co. Meath","Number","8"
"Persons Killed","2015","Co. Offaly","Number","5"
"Persons Killed","2015","Co. Westmeath","Number","5"
"Persons Killed","2015","Co. Wexford","Number","7"
"Persons Killed","2015","Co. Wicklow","Number","8"
"Persons Killed","2015","Co. Clare","Number","2"
"Persons Killed","2015","Co. Cork","Number","15"
"Persons Killed","2015","Co. Kerry","Number","8"
"Persons Killed","2015","Co. Limerick","Number","4"
"Persons Killed","2015","Co. Tipperary","Number","4"
"Persons Killed","2015","Co. Waterford","Number","0"
"Persons Killed","2015","Co. Galway","Number","12"
"Persons Killed","2015","Co. Leitrim","Number","3"
"Persons Killed","2015","Co. Mayo","Number","13"
"Persons Killed","2015","Co. Roscommon","Number","1"
"Persons Killed","2015","Co. Sligo","Number","2"
"Persons Killed","2015","Co. Cavan","Number","4"
"Persons Killed","2015","Co. Donegal","Number","11"
"Persons Killed","2015","Co. Monaghan","Number","4"
"Persons Killed","2016","Co. Carlow","Number","0"
